,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
project0222.csv,289.0,5.0,22.0,1.0,20.0,2.0,70.0,19.0,112.0,11.0,2.0,0.0
project0223.csv,0.5,0.5,1.0,0.0,0.0,0.0,0.0,3.0,11.0,44.5,22.5,0.0
project0224.csv,0.0,0.0,2.0,0.0,0.0,0.0,6.0,2.0,7.0,94.0,15.0,1.0
project0225.csv,3.0,2.0,2.0,0.0,2.0,1.0,3.0,0.0,26.0,46.0,7.0,0.0
project0226.csv,31.0,7.5,16.0,2.0,13.0,1.0,52.5,6.5,91.5,45.0,8.0,0.0
project0227.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,6.0,1.0
project0228.csv,107.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,44.0,16.0,1.0
project0229.csv,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,106.0,10.0,1.0
project0230.csv,16.0,3.0,6.0,0.0,5.0,1.0,7.0,0.0,24.0,36.0,4.0,0.0
project0231.csv,94.0,10.0,30.0,3.0,29.0,2.0,127.0,13.0,251.0,252.0,35.0,1.0
project0232.csv,32.5,4.5,5.0,0.5,3.0,1.0,11.0,4.0,51.5,96.0,12.0,0.0
project0233.csv,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5,22.5,1.0
project0234.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0
project0235.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0
project0236.csv,14.0,3.0,4.0,1.0,2.0,1.0,27.0,3.0,189.0,98.0,11.0,0.0
project0237.csv,13.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,27.0,26.0,7.0,0.0
project0238.csv,38.5,7.0,3.5,1.0,0.0,0.0,16.5,0.0,25.0,54.0,7.0,0.0
project0239.csv,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0
project0240.csv,66.0,9.0,1.0,0.0,1.0,1.0,0.0,15.0,519.0,75.0,10.0,0.0
project0241.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,0.0
project0242.csv,42.0,7.0,2.0,1.0,0.0,0.0,2.0,3.0,79.0,54.0,17.0,0.0
project0243.csv,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
project0244.csv,13.0,3.0,12.0,0.0,11.0,2.0,15.0,1.0,24.0,13.0,3.0,0.0
project0245.csv,193.0,9.0,40.0,7.0,29.5,3.0,46.0,2.0,54.0,12.0,11.0,0.0
project0246.csv,21.5,3.0,3.0,0.0,3.0,1.0,8.0,0.0,5.5,30.5,14.5,0.0
project0247.csv,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,19.0,0.0
project0248.csv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,22.5,2.5
project0249.csv,1.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,67.0,16.5,0.0
project0250.csv,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0
project0251.csv,141.0,25.0,109.5,10.0,94.5,16.5,281.0,3.5,183.0,71.5,20.5,1.0
project0252.csv,44.0,10.0,45.5,7.0,37.0,4.0,264.5,0.0,316.5,120.5,18.5,1.0
